source,target,timestamp,value,valueDoll
69342724,167681741,1391472220,24.928912,20990.39319
Bitfinex.com-old2,91256369,1391472220,41.2,34690.812
238735,102796894,1391472220,18.75276217,15790.01327
122505256,122505256,1391472220,20.12399862,16944.60808
89097307,80904671,1391472220,239.9840954,202069.0081
ePay.info,ePay.info,1391472220,19.38116096,16319.13134
109312584,76633542,1391472220,308.0596634,259389.3172
41582543,44536545,1391472220,27.1709997,22878.25346
32947963,156220539,1391472220,2037.9113,1715941.694
32947963,12677720,1391472220,250,210502.5
93004536,47475417,1391472220,16.38113546,13793.07987
74763234,74763234,1391472220,19.23091993,16192.62689
8278627,161086515,1391472220,41.17936264,34673.43514
26258503,37938865,1391472220,16.30429154,13728.37652
44978407,8757,1391472220,36.9124,31080.60992
60354452,86062052,1391472220,15.6338483,13163.85661
76674483,169327740,1391472220,25.07015492,21109.32114
117138918,26945451,1391472220,431.7716112,363556.0144
117138918,79936390,1391472220,19.56275583,16472.03604
238735,102796894,1391472220,39.39683481,33172.52888
98837355,13700039,1391472220,17.70212576,14905.36691
238735,20174889,1391472220,42.20795,35539.51598
43861444,30680783,1391472220,18.92733335,15937.00395
10680530,136604807,1391472220,18.57780315,15642.69603
10680530,52062574,1391472220,138.2589878,116415.4504
10680530,69982725,1391472220,25.999,21891.41799
ePay.info,ePay.info,1391472220,29.9254,25197.48605
29515239,2926510,1391472220,29.28894195,24661.58201
30147225,71954585,1391472220,370.1167103,311641.9712
67278645,112015105,1391472220,27.0001,22734.3542
72345557,171482176,1391472220,190.9690653,160797.8626
66866033,24599548,1391472220,16.56918188,13951.41683
65580236,44335620,1391472220,22.74971071,19155.48391
89472225,LocalBitcoins.com-old,1391472220,64.47793431,54291.06547
48627924,153534520,1391472220,164.0725401,138150.7195
38812468,45852600,1391472220,27.03534571,22764.03144
122505256,122505256,1391472220,16.59098862,13969.77833
29267853,56161958,1391472220,69.08791315,58172.71375
2876364,27336311,1391472220,68.94617981,58053.37286
16079388,31737756,1391472220,25.2975001,21300.74806
2226482,166575244,1391472220,17,14314.17
79143841,79143841,1391472220,24.9995,21049.829
122505256,122505256,1391472220,15.36940862,12941.19575
79143841,79143841,1391472220,34.9996,29470.0132
67204046,93105841,1391472220,32.68762961,27523.31101
84844044,18359687,1391472220,351.8304386,296244.7476
122505256,122505256,1391472220,21.24977862,17892.5261
101980663,44058242,1391472220,16.6415637,14012.36305
94658609,24316763,1391472220,18.999,15997.34799
94658609,16984215,1391472220,106.5840297,89744.81887
138024825,36531784,1391472220,18.22249979,15343.52705
169686347,138723949,1391472220,18.43591287,15523.223
24376578,117520074,1391472220,59.23277556,49874.58935
20323855,116659165,1391472220,63.20142201,53216.22935
17928850,104937131,1391472220,18.98616488,15986.54069
238735,78258289,1391472220,57.89788814,48750.60079
125587643,58340909,1391472220,242.520477,204204.6669
10274700,131025893,1391472220,24.99956753,21049.88586
57006881,13789721,1391472220,301.0684983,253502.6862
6508791,338808,1391472220,71.07877127,59849.0362
238735,168852170,1391472220,283.6215827,238812.2088
Dagensia.eu,Dagensia.eu,1391472220,19.22059932,16183.93683
152154874,105515225,1391472220,15.49780188,13049.30416
111245642,74595103,1391472220,52.66387541,44343.50973
145882092,8366447,1391472220,23.35261591,19663.13612
62054888,21926577,1391472220,27.14546306,22856.75135
28559766,118672430,1391472220,124.5368597,104861.2812
122505256,122505256,1391472577,15.21793534,12813.65374
91255895,100674586,1391472577,98.779,83172.90579
26490167,139324714,1391472577,27.2394001,22935.84728
47565628,91528347,1391472577,15.809953,13312.13853
113226598,21110612,1391472577,17.29050965,14558.78203
BTCGuild.com,97769672,1391472577,24.60573042,20718.27107
63567925,12408243,1391472577,44.37186837,37361.55689
69214192,91448748,1391472577,21.993978,18519.14942
171351823,GHash.io,1391472577,25.09280882,21128.39595
BTCGuild.com,BTCGuild.com,1391472577,24.41737547,20559.67432
14398620,3541738,1391472577,100.1549843,84331.49832
14398620,121053603,1391472577,32.94887189,27743.27962
148695898,10736663,1391472577,97.86264,82401.32151
130890709,23124416,1391472577,39.3315901,33117.59218
9236231,78511694,1391472577,16.47584959,13872.83011
160590214,146319863,1391472577,23.80946765,20047.80986
162557798,31947149,1391472577,15.39284239,12960.92722
ePay.info,158298895,1391472577,50.0099,42108.8359
32236071,94607034,1391472577,37,31154.37
101003322,76524833,1391472577,32.07446656,27007.02159
101003322,mtgox,1391472577,34.60558652,29138.24991
BitcoinFog,7414180,1391472577,104.4215479,87923.98756
94438349,130199987,1391472577,23.04639972,19405.29903
54365606,72376732,1391472610,455.5204387,383552.7646
4810936,34603459,1391472610,15.52932054,13075.84319
36438887,92509541,1391472610,16.97054,14289.36439
21963554,49331261,1391472610,49.995,42096.28995
25538770,108502721,1391472610,50.33592555,42383.35267
168996831,48516327,1391472610,460.9655059,388137.5656
30350936,98630145,1391472610,18.42800412,15516.56375
142764524,142764524,1391472610,18.9482755,15954.63745
19022537,38503418,1391472610,38.45749632,32381.59648
40379064,158935168,1391472610,37.91082188,31921.29113
146259113,3944509,1391472610,381.4760397,321206.6402
24316763,1189683,1391472610,45,37890.45
24316763,24316763,1391472610,35.9788996,30294.59325
238735,149528640,1391472610,351.2838537,295784.5176
33280648,133664925,1391472610,40.61586322,34198.96299
134620433,148831995,1391472610,17.4198,14667.6458
13552451,116797624,1391472610,23.5581501,19836.19797
10331918,26467198,1391472610,32.82621606,27640.00218
McxNOW.com,McxNOW.com,1391472610,16.28269343,13710.19069
BTCGuild.com,50505085,1391472610,24.5344929,20658.28837
171351823,9712072,1391472610,25.08764542,21124.04832
29752859,15818337,1391472610,393.9482754,331708.3874
117318743,100438164,1391472610,42.0096,35372.5033
50524406,80196832,1391472610,706.2077442,594633.9827
238735,66372912,1391472610,545.6647695,459455.1925
LocalBitcoins.com-old,65821452,1391472610,19.83409711,16700.50811
Bitcoin.de,145785109,1391472610,60.8467,51233.52987
150218680,61639571,1391472610,50.230229,42294.35512
12835071,143248505,1391472782,17.49688335,14732.55075
140671577,48668063,1391472782,72.45239903,61005.64451
27638310,140671577,1391472782,85.65449903,72121.94473
102796894,180511,1391472782,50.16535354,42239.72933
24455328,126005342,1391472782,16.34986542,13766.75018
7414180,27638310,1391472782,93.34844791,78600.32662
45852600,88675040,1391472782,26.48426598,22300.0168
31210604,24659975,1391472782,17.12105958,14416.10338
Bitstamp.net-old,112700127,1391472782,75,63150.75
Bitstamp.net-old,82140995,1391472782,70,58940.7
90412270,20290084,1391472782,17.00155012,14315.47522
171351823,ePay.info,1391472782,25.02475211,21071.09152
54566043,61524651,1391473210,15.61327398,13146.53282
171351823,BTCGuild.com,1391473210,25.10792957,21141.12778
29852885,57694134,1391473210,27.04539702,22772.49474
85733244,39666772,1391473210,17.45742012,14699.32232
39380661,91161012,1391473210,72.16996979,60767.83626
17954509,55026824,1391473210,69.9150507,58869.17184
96152315,37573034,1391473210,15.23709974,12829.79035
142516660,130389339,1391473210,72.04141985,60659.59593
44335620,141961188,1391473210,17.9625491,15124.64597
76373841,29555373,1391473210,61.22642662,51553.26348
43985120,73070095,1391473210,15.63563426,13165.3604
55953711,104476421,1391473210,68.9053171,58018.96605
8366447,80329338,1391473210,21.79498626,18351.59638
130389339,124941157,1391473210,71.95696875,60588.48726
48668063,39380661,1391473210,72.34529903,60915.46524
bitcurex,6434373,1391473210,20.76462097,17484.0185
46515012,10745137,1391473210,86.76413269,73056.26737
55950230,46971309,1391473210,16.41002002,13817.40096
126815795,Cavirtex.com,1391473210,15.64118928,13170.03779
238735,29308877,1391473210,27.19697832,22900.12772
55797647,55953711,1391473210,69.7824171,58757.49302
91161012,142516660,1391473210,72.08309379,60694.6858
2204378,30780546,1391473210,17.47673545,14715.58602
70190983,59986693,1391473210,29.9,25176.099
13890244,20358617,1391473210,16.39975002,13808.75351
7286414,49920757,1391473210,17.38505834,14638.39297
22118182,1683970,1391473210,22.58679254,19018.30519
22118182,46117662,1391473210,22.58679254,19018.30519
22118182,62848895,1391473210,22.58679254,19018.30519
22118182,105434981,1391473210,22.58679217,19018.30488
74595103,109180388,1391473210,50.24277541,42304.91932
124941157,17954509,1391473210,71.5709191,60263.42959
80904671,114146182,1391473210,238.8739954,201134.2928
1384803,37783016,1391473210,29.95,25218.1995
50505085,154395768,1391473210,21.7343929,18300.57617
55026824,55797647,1391473210,69.8149507,58784.88664
115801174,121987254,1391473485,18.45205071,15536.81122
115801174,32563647,1391473485,18.45205071,15536.81122
115801174,70142360,1391473485,18.45205071,15536.81122
115801174,139915918,1391473485,18.45205032,15536.81089
66591373,25207510,1391473485,19.2511375,16209.65029
125231341,158221799,1391473485,68.1064279,57346.29336
25207510,117955662,1391473485,18.2491575,15365.97311
11677362,125231341,1391473485,68.1301119,57366.23552
117520074,114370386,1391473485,25,21050.25
117520074,72650770,1391473485,16.65239291,14021.48135
156329366,71189770,1391473485,67.75895491,57053.71762
37038420,31954098,1391473485,22.2327135,18720.16709
ePay.info,ePay.info,1391473485,25,21050.25
ePay.info,ePay.info,1391473485,26.046,21930.99246
ePay.info,ePay.info,1391473485,25.724,21659.86524
139733396,36529024,1391473485,65.94501944,55526.36582
71189770,75166508,1391473485,67.55785491,56884.38941
158221799,38158437,1391473485,68.08823611,57330.97569
27336311,24644446,1391473485,57.03942446,48027.76579
32403986,15528462,1391473485,17.38765969,14640.58334
32403986,149818989,1391473485,25,21050.25
32403986,72650770,1391473485,15.46869184,13024.79322
32403986,81827739,1391473485,23.92844857,20147.99298
BTCGuild.com,283950,1391473485,34,28628.34
BTCGuild.com,66084271,1391473485,15.47358459,13028.91296
117955662,133570575,1391473485,17.2590575,14532.29901
17885900,66591373,1391473485,24.6764375,20777.80714
9642501,28865764,1391473485,20.51783713,17276.22404
38158437,156329366,1391473485,68.02624811,57278.78117
ePay.info,ePay.info,1391473485,23.53743,19818.75143
ePay.info,ePay.info,1391473485,15.6995,13219.136
78258289,163186594,1391473485,26.41856037,22244.69202
78258289,170227341,1391473485,28.95,24376.1895
57632727,57632727,1391473485,17.9999,15156.0958
ePay.info,ePay.info,1391473485,16.17,13615.3017
ePay.info,ePay.info,1391473485,17.69,14895.1569
